OID_,Value,Count,testerCounties_PolygonToRaster,whp2020_cls_conus,GEOID,NAME,class_desc,Value_1
1,1,7588.000000000000000,1,1,48189,Hale,1: Very Low,1
2,2,24522.000000000000000,1,6,48189,Hale,6: Non-burnable,6
3,3,3133.000000000000000,1,2,48189,Hale,2: Low,2
4,4,19631.000000000000000,3,6,48153,Floyd,6: Non-burnable,6
5,5,5208.000000000000000,3,1,48153,Floyd,1: Very Low,1
6,6,3683.000000000000000,3,2,48153,Floyd,2: Low,2
7,7,3247.000000000000000,3,3,48153,Floyd,3: Moderate,3
8,8,2994.000000000000000,3,4,48153,Floyd,4: High,4
9,9,491.000000000000000,3,5,48153,Floyd,5: Very High,5
10,10,3160.000000000000000,4,6,48345,Motley,6: Non-burnable,6
11,11,702.000000000000000,4,1,48345,Motley,1: Very Low,1
12,12,17812.000000000000000,4,3,48345,Motley,3: Moderate,3
13,13,3828.000000000000000,4,2,48345,Motley,2: Low,2
14,14,9152.000000000000000,4,4,48345,Motley,4: High,4
15,15,435.000000000000000,1,3,48189,Hale,3: Moderate,3
16,16,499.000000000000000,4,5,48345,Motley,5: Very High,5
17,17,6.000000000000000,1,7,48189,Hale,7: Water,7
18,18,4.000000000000000,3,7,48153,Floyd,7: Water,7
19,19,16.000000000000000,4,7,48345,Motley,7: Water,7
20,20,16.000000000000000,1,4,48189,Hale,4: High,4
21,21,23324.000000000000000,5,6,48303,Lubbock,6: Non-burnable,6
22,22,4859.000000000000000,5,1,48303,Lubbock,1: Very Low,1
23,23,2574.000000000000000,5,2,48303,Lubbock,2: Low,2
24,24,953.000000000000000,5,3,48303,Lubbock,3: Moderate,3
25,25,226.000000000000000,5,4,48303,Lubbock,4: High,4
26,26,16319.000000000000000,2,6,48107,Crosby,6: Non-burnable,6
27,27,3026.000000000000000,2,1,48107,Crosby,1: Very Low,1
28,28,7480.000000000000000,2,3,48107,Crosby,3: Moderate,3
29,29,2353.000000000000000,2,2,48107,Crosby,2: Low,2
30,30,9339.000000000000000,6,2,48125,Dickens,2: Low,2
31,31,1925.000000000000000,6,1,48125,Dickens,1: Very Low,1
32,32,14783.000000000000000,6,3,48125,Dickens,3: Moderate,3
33,33,3399.000000000000000,6,6,48125,Dickens,6: Non-burnable,6
34,34,2486.000000000000000,6,4,48125,Dickens,4: High,4
35,35,2775.000000000000000,2,4,48107,Crosby,4: High,4
36,36,214.000000000000000,6,5,48125,Dickens,5: Very High,5
37,37,7709.000000000000000,7,3,48269,King,3: Moderate,3
38,38,18370.000000000000000,7,2,48269,King,2: Low,2
39,39,10.000000000000000,6,7,48125,Dickens,7: Water,7
40,40,1534.000000000000000,7,6,48269,King,6: Non-burnable,6
41,41,1531.000000000000000,7,1,48269,King,1: Very Low,1
42,42,1698.000000000000000,7,5,48269,King,5: Very High,5
43,43,1592.000000000000000,7,4,48269,King,4: High,4
44,44,62.000000000000000,5,7,48303,Lubbock,7: Water,7
45,45,27.000000000000000,2,5,48107,Crosby,5: Very High,5
46,46,60.000000000000000,2,7,48107,Crosby,7: Water,7
47,47,16.000000000000000,7,7,48269,King,7: Water,7
48,48,5.000000000000000,5,5,48303,Lubbock,5: Very High,5
